,Position 0.0 mm,Position 1.0 mm,Position 2.0 mm,Position 3.0 mm,Position 4.0 mm,Position 5.0 mm,Position 6.0 mm,Position 7.0 mm,Position 8.0 mm,Position 9.0 mm,Position 10.0 mm,Position 11.0 mm,Position 12.0 mm,Position 13.0 mm,Position 14.0 mm,Position 15.0 mm,Position 16.0 mm,Position 17.0 mm,Position 18.0 mm,Position 19.0 mm,Position 20.0 mm,Position 21.0 mm,Position 22.0 mm,Position 23.0 mm,Position 24.0 mm,Position 25.0 mm,Position 26.0 mm
450,1000.00,947.51,895.22,843.36,792.10,741.65,692.18,643.86,596.82,551.18,507.07,464.54,423.66,384.46,346.95,311.10,276.88,244.21,213.02,183.18,154.59,127.08,100.51,74.70,49.48,24.64,0.00
451,1000.00,947.56,895.33,843.51,792.30,741.90,692.47,644.18,597.17,551.56,507.47,464.95,424.08,384.89,347.37,311.51,277.27,244.58,213.36,183.49,154.86,127.32,100.70,74.85,49.57,24.69,0.00
452,1000.00,947.61,895.43,843.66,792.50,742.14,692.75,644.50,597.52,551.94,507.86,465.36,424.50,385.31,347.78,311.91,277.66,244.95,213.70,183.80,155.13,127.55,100.89,74.99,49.67,24.74,0.00
453,1000.00,947.66,895.53,843.81,792.70,742.38,693.04,644.82,597.87,552.32,508.26,465.77,424.92,385.72,348.20,312.32,278.04,245.31,214.04,184.11,155.40,127.78,101.08,75.14,49.77,24.79,0.00
454,1000.00,947.72,895.64,843.97,792.90,742.63,693.32,645.13,598.22,552.69,508.65,466.18,425.33,386.14,348.61,312.72,278.43,245.67,214.37,184.41,155.68,128.01,101.27,75.28,49.87,24.84,0.00
455,1000.00,947.77,895.74,844.12,793.10,742.87,693.60,645.45,598.56,553.06,509.04,466.59,425.75,386.56,349.02,313.12,278.81,246.04,214.71,184.72,155.94,128.24,101.46,75.43,49.96,24.88,0.00
456,1000.00,947.82,895.84,844.27,793.30,743.11,693.88,645.77,598.91,553.43,509.43,466.99,426.16,386.97,349.43,313.52,279.19,246.40,215.04,185.02,156.21,128.47,101.65,75.57,50.06,24.93,0.00
457,1000.00,947.87,895.94,844.42,793.49,743.35,694.16,646.08,599.26,553.80,509.82,467.39,426.57,387.38,349.83,313.91,279.58,246.76,215.38,185.33,156.48,128.70,101.83,75.71,50.15,24.98,0.00
458,1000.00,947.92,896.04,844.57,793.69,743.59,694.44,646.39,599.60,554.17,510.21,467.79,426.98,387.79,350.24,314.31,279.96,247.12,215.71,185.63,156.75,128.93,102.02,75.85,50.25,25.03,0.00
459,1000.00,947.97,896.14,844.72,793.88,743.82,694.71,646.71,599.94,554.54,510.60,468.19,427.39,388.20,350.65,314.70,280.33,247.48,216.04,185.93,157.01,129.16,102.21,75.99,50.35,25.08,0.00
